transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX5103706,25/08/2021,93529,Kimia Farma - Klinik & Apotek,Yogyakarta,DI Yogyakarta,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX5388139,29/12/2020,24832,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX7251897,03/02/2020,20505,Kimia Farma - Apotek,Cilacap,Jawa Tengah,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX4943675,09/09/2022,17678,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX3469820,20/06/2020,28315,Kimia Farma - Klinik-Apotek-Laboratorium,Sukabumi,Jawa Barat,"3,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX1213133,17/09/2021,22280,Kimia Farma - Apotek,Batam,Kepulauan Riau,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX2020131,16/12/2020,40028,Kimia Farma - Klinik-Apotek-Laboratorium,Balikpapan,Kalimantan Timur,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX5015870,17/08/2022,41343,Kimia Farma - Apotek,Semarang,Jawa Tengah,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX7064077,21/06/2021,86546,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX5979742,31/12/2020,18235,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX2209141,20/03/2021,59571,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX5385534,17/03/2023,69280,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX9155202,11/04/2020,29626,Kimia Farma - Klinik & Apotek,Bitung,Sulawesi Utara,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,02","0,2",246666,"49333,2",3
TRX1702542,15/09/2022,48590,Kimia Farma - Klinik & Apotek,Garut,Jawa Barat,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX8205780,19/10/2022,37915,Kimia Farma - Klinik & Apotek,Cianjur,Jawa Barat,"3,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX3208671,20/12/2023,66935,Kimia Farma - Klinik & Apotek,Madiun,Jawa Timur,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX2085415,11/02/2022,17678,Kimia Farma - Klinik & Apotek,Subang,Jawa Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX1384968,01/07/2020,33691,Kimia Farma - Klinik-Apotek-Laboratorium,Palu,Sulawesi Tengah,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX7358419,19/01/2020,19224,Kimia Farma - Apotek,Purwakarta,Jawa Barat,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX5628390,15/01/2021,58219,Kimia Farma - Apotek,Magelang,Jawa Tengah,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX6463209,13/03/2021,96558,Kimia Farma - Apotek,Denpasar,Bali,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX1588524,06/03/2023,20554,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX6976260,23/06/2022,73596,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX7535559,20/11/2021,18250,Kimia Farma - Klinik-Apotek-Laboratorium,Jakarta,DKI Jakarta,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX4712362,19/02/2023,60936,Kimia Farma - Apotek,Subang,Jawa Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX5721137,09/08/2020,54078,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX1101446,02/07/2022,28211,Kimia Farma - Klinik-Apotek-Laboratorium,Medan,Sumatera Utara,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX7849350,22/01/2022,92115,Kimia Farma - Apotek,Purwakarta,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX3976120,20/12/2021,84382,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX9210209,11/07/2020,86237,Kimia Farma - Klinik-Apotek-Laboratorium,Payakumbuh,Sumatera Barat,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,0,"0,2",251700,50340,3
TRX3803949,20/12/2022,99291,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX7305749,28/11/2020,67118,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX3677605,22/01/2021,20339,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,02","0,2",246666,"49333,2",3
TRX5092991,27/09/2020,37131,Kimia Farma - Klinik & Apotek,Kuningan,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
